"Freq [GHz]","RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'"
2.54,0.0154627260557329
2.55,0.0158658033089662
2.56,0.0162542750199463
2.57,0.0166264634554221
2.58,0.0169807741923213
2.59,0.0173157032896149
2.6,0.0176298415467148
2.61,0.0179218807139635
2.62,0.0181906191334539
2.63,0.0184349646778492
2.64,0.0186539400444392
2.65,0.0188466881740188
2.66,0.0190124722355863
2.67,0.0191506827854177
2.68,0.0192608364599506
2.69,0.0193425800717523
2.7,0.0193956932613352
2.71,0.0194200852670334
2.72,0.0194158004160105
2.73,0.019383012776154
2.74,0.0193220301160751
2.75,0.0192332887072202
2.76,0.0191173517379324
2.77,0.0189749080914038
2.78,0.0188067677685286
2.79,0.0186138573435534
2.8,0.01839721551319
2.81,0.018157989162524
2.82,0.0178974240062602
2.83,0.0176168611279757
2.84,0.0173177288560072
2.85,0.01700153564612
2.86,0.0166698617278032
2.87,0.0163243496488074
2.88,0.0159666981616841
2.89,0.0155986518284827
2.9,0.0152219922929046
2.91,0.0148385273192049
2.92,0.0144500855712138
2.93,0.0140585027218844
2.94,0.0136656149027001
2.95,0.0132732484509086
2.96,0.0128832122997357
2.97,0.0124972871314611
2.98,0.0121172186872878
2.99,0.0117447082282075
3,0.0113814057013652
3.01,0.0110289023967669
3.02,0.0106887222371493
3.03,0.0103623180557884
3.04,0.0100510632378819
3.05,0.00975624766822233
3.06,0.00947907145104557
3.07,0.00922064197852011
3.08,0.00898196883576538
3.09,0.00876396061369888
3.1,0.00856742285041207
3.11,0.00839305489659182
3.12,0.00824144800063608
3.13,0.0081130848943725
3.14,0.00800833867926197
3.15,0.00792747195641295
3.16,0.00787063787154046
3.17,0.00783787958960875
3.18,0.00782913286518121
3.19,0.00784422636565688
3.2,0.00788288400520958
3.21,0.00794472659945693
3.22,0.00802927579558046
3.23,0.008135955522734
3.24,0.00826409600058454
3.25,0.00841293820601961
3.26,0.00858163583541097
3.27,0.00876926133220833
3.28,0.00897480899372606
3.29,0.00919720144855612
3.3,0.00943529258991711
3.31,0.00968787471840976
3.32,0.00995368229873294
3.33,0.0102313993862872
3.34,0.0105196640770414
3.35,0.0108170751125186
3.36,0.0111221983702204
3.37,0.0114335728276186
3.38,0.0117497168441939
3.39,0.0120691354097032
3.4,0.0123903260250107
3.41,0.0127117860082235
3.42,0.0130320189941441
3.43,0.0133495417290128
3.44,0.0136628895468248
3.45,0.0139706256811754
3.46,0.0142713452084849
3.47,0.014563682754512
3.48,0.0148463176775197
3.49,0.0151179822320348
3.5,0.0153774639738601
3.51,0.0156236144931369
3.52,0.0158553528881313
3.53,0.0160716716366848
3.54,0.0162716398968309
3.55,0.0164544084171331
3.56,0.0166192138048364
3.57,0.0167653804055709
3.58,0.0168923253365895
3.59,0.0169995582004714
3.6,0.0170866840022157
3.61,0.0171534062508973
3.62,0.0171995256771126
3.63,0.0172249405470115
3.64,0.0172296482520055
3.65,0.0172137437198745
3.66,0.0171774172771008
3.67,0.0171209546223412
3.68,0.0170447343338877
3.69,0.0169492244812017
3.7,0.0168349803632124
3.71,0.0167026415799585
3.72,0.0165529274422355
3.73,0.0163866325247267
3.74,0.0162046237741327
3.75,0.0160078344749979
3.76,0.0157972597956661
3.77,0.0155739510773426
3.78,0.0153390108923089
3.79,0.0150935876850299
3.8,0.0148388695200648
3.81,0.0145760783542406
3.82,0.0143064638958091
3.83,0.0140312985514247
3.84,0.0137518708875549
3.85,0.0134694793540582
3.86,0.0131854269075194
