Freq [GHz],RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'
6.95,0.011548636
6.96,0.011656359
6.97,0.011773267
6.98,0.011898493
6.99,0.01203112
7,0.012170192
7.01,0.012314718
7.02,0.012463674
7.03,0.012616014
7.04,0.01277067
7.05,0.012926565
7.06,0.013082613
7.07,0.013237727
7.08,0.013390827
7.09,0.013540842
7.1,0.013686722
7.11,0.013827433
7.12,0.013961979
7.13,0.014089392
7.14,0.014208742
7.15,0.014319148
7.16,0.014419777
7.17,0.014509848
7.18,0.014588639
7.19,0.014655492
7.2,0.01470981
7.21,0.014751067
7.22,0.01477881
7.23,0.014792656
7.24,0.014792301
7.25,0.014777517
7.26,0.014748156
7.27,0.014704145
7.28,0.014645496
7.29,0.014572297
7.3,0.014484715
7.31,0.014382996
7.32,0.014267463
7.33,0.014138511
7.34,0.013996609
7.35,0.013842296
7.36,0.013676176
7.37,0.01349892
7.38,0.013311254
7.39,0.013113963
7.4,0.012907882
7.41,0.012693892
7.42,0.012472918
7.43,0.01224592
7.44,0.012013891
7.45,0.011777849
7.46,0.011538833
7.47,0.0112979
7.48,0.011056114
7.49,0.010814541
7.5,0.010574247
7.51,0.010336294
7.52,0.010101725
7.53,0.009871567
7.54,0.009646823
7.55,0.009428468
7.56,0.009217439
7.57,0.009014637
7.58,0.008820918
7.59,0.008637089
7.6,0.008463905
7.61,0.008302067
7.62,0.008152212
7.63,0.008014916
7.64,0.00789069
7.65,0.007779976
7.66,0.007683143
7.67,0.007600491
7.68,0.007532246
7.69,0.007478555
7.7,0.007439493
7.71,0.007415061
7.72,0.00740518
7.73,0.007409698
7.74,0.007428389
7.75,0.007460955
7.76,0.007507025
7.77,0.007566162
7.78,0.007637858
7.79,0.007721546
7.8,0.007816595
7.81,0.00792232
7.82,0.008037983
7.83,0.008162792
7.84,0.008295917
7.85,0.008436483
7.86,0.008583584
7.87,0.008736283
7.88,0.008893616
7.89,0.009054604
7.9,0.009218253
7.91,0.009383559
7.92,0.00954952
7.93,0.009715138
7.94,0.009879422
7.95,0.010041399
7.96,0.010200117
7.97,0.010354651
7.98,0.01050411
7.99,0.010647641
8,0.01078443
8.01,0.010913719
8.02,0.011034796
8.03,0.01114701
8.04,0.011249769
8.05,0.01134255
8.06,0.011424894
8.07,0.011496413
8.08,0.011556794
8.09,0.011605802
8.1,0.011643274
8.11,0.011669126
8.12,0.011683355
8.13,0.011686034
8.14,0.011677316
8.15,0.011657426
8.16,0.01162667
8.17,0.011585423
8.18,0.011534132
8.19,0.011473311
8.2,0.011403542
8.21,0.01132546
8.22,0.011239761
8.23,0.011147192
8.24,0.011048545
8.25,0.010944651
8.26,0.010836379
8.27,0.010724627
8.28,0.010610314
8.29,0.010494379
8.3,0.010377767
8.31,0.010261434
8.32,0.010146327
8.33,0.010033389
8.34,0.009923545
8.35,0.009817701
8.36,0.009716734
8.37,0.009621491
8.38,0.009532776
8.39,0.009451354
8.4,0.009377938
8.41,0.009313189
8.42,0.009257708
8.43,0.00921204
8.44,0.00917666
8.45,0.009151976
8.46,0.009138329
8.47,0.009135989
8.48,0.009145145
8.49,0.009165922
8.5,0.009198363
8.51,0.009242441
8.52,0.009298052
8.53,0.009365022
8.54,0.009443106
8.55,0.009531989
8.56,0.009631289
8.57,0.009740562
8.58,0.009859303
8.59,0.009986953
8.6,0.010122894
8.61,0.010266466
8.62,0.010416963
8.63,0.010573642
8.64,0.010735721
8.65,0.010902394
8.66,0.011072829
8.67,0.011246178
8.68,0.011421577
8.69,0.011598157
8.7,0.011775046
8.71,0.011951375
8.72,0.012126284
8.73,0.012298927
8.74,0.012468475
8.75,0.012634125
8.76,0.012795101
8.77,0.01295066
8.78,0.013100095
8.79,0.013242742
8.8,0.013377983
8.81,0.013505244
8.82,0.013624006
8.83,0.013733804
8.84,0.013834231
8.85,0.01392494
8.86,0.014005642
8.87,0.014076118
8.88,0.014136208
8.89,0.014185823
8.9,0.014224938
8.91,0.014253594
8.92,0.014271904
8.93,0.014280046
8.94,0.014278261
8.95,0.014266862
8.96,0.014246222
8.97,0.014216778
8.98,0.014179028
8.99,0.014133529
9,0.014080893
9.01,0.014021785
9.02,0.013956918
9.03,0.013887054
9.04,0.013812993
9.05,0.013735572
9.06,0.013655664
9.07,0.013574164
9.08,0.013491996
9.09,0.013410095
9.1,0.013329404
9.11,0.01325088
9.12,0.013175471
9.13,0.013104118
9.14,0.013037752
9.15,0.012977277
9.16,0.012923576
9.17,0.012877494
9.18,0.012839838
9.19,0.012811367
9.2,0.01279279
9.21,0.012784756
9.22,0.012787852
9.23,0.012802592
9.24,0.012829421
9.25,0.012868701
9.26,0.012920713
9.27,0.012985654
9.28,0.013063628
9.29,0.013154647
9.3,0.013258633
9.31,0.013375405
9.32,0.013504693
9.33,0.013646125
9.34,0.013799236
9.35,0.013963461
9.36,0.014138146
9.37,0.014322541
9.38,0.01451581
9.39,0.014717028
9.4,0.014925193
9.41,0.015139221
9.42,0.015357962
9.43,0.015580195
9.44,0.01580464
9.45,0.016029968
9.46,0.016254802
9.47,0.016477726
9.48,0.016697299
9.49,0.016912055
9.5,0.017120517
9.51,0.017321206
9.52,0.017512653
9.53,0.017693401
9.54,0.017862025
9.55,0.018017132
9.56,0.018157379
9.57,0.01828148
9.58,0.018388214
9.59,0.018476439
9.6,0.018545096
9.61,0.01859323
9.62,0.018619977
9.63,0.018624598
9.64,0.018606469
9.65,0.018565093
9.66,0.018500111
9.67,0.0184113
9.68,0.018298585
9.69,0.018162038
9.7,0.018001885
9.71,0.017818503
9.72,0.017612428
9.73,0.017384347
9.74,0.017135103
9.75,0.016865687
9.76,0.016577245
9.77,0.016271057
9.78,0.015948549
9.79,0.015611268
9.8,0.015260891
9.81,0.014899206
9.82,0.014528101
9.83,0.014149557
9.84,0.013765636
9.85,0.013378467
9.86,0.012990232
9.87,0.01260315
9.88,0.012219468
9.89,0.011841438
9.9,0.011471311
9.91,0.011111313
9.92,0.010763632
9.93,0.010430406
9.94,0.010113703
9.95,0.009815509
9.96,0.009537709
9.97,0.009282079
9.98,0.00905027
9.99,0.008843793
10,0.008664011
10.01,0.008512128
10.02,0.008389176
10.03,0.008296013
10.04,0.008233308
10.05,0.008201542
10.06,0.008201001
10.07,0.008231772
10.08,0.008293743
10.09,0.008386602
10.1,0.008509836
10.11,0.008662741
10.12,0.008844417
10.13,0.009053776
10.14,0.009289553
10.15,0.009550309
10.16,0.009834442
10.17,0.010140194
10.18,0.010465671
10.19,0.01080884
10.2,0.011167555
10.21,0.011539569
10.22,0.011922541
10.23,0.012314054
10.24,0.012711639
10.25,0.013112774
10.26,0.013514918
10.27,0.013915512
10.28,0.014312003
10.29,0.01470186
10.3,0.015082587
10.31,0.015451742
10.32,0.015806949
10.33,0.016145917
10.34,0.016466448
10.35,0.016766457
10.36,0.017043989
10.37,0.017297217
10.38,0.017524468
10.39,0.017724228
10.4,0.017895148
10.41,0.018036062
10.42,0.018145987
10.43,0.018224132
10.44,0.018269905
10.45,0.018282912
10.46,0.018262968
10.47,0.018210091
10.48,0.018124507
10.49,0.018006643
10.5,0.017857137
10.51,0.017676819
10.52,0.017466717
10.53,0.017228046
10.54,0.016962203
10.55,0.016670755
10.56,0.016355434
10.57,0.01601812
10.58,0.015660841
10.59,0.015285741
10.6,0.014895085
10.61,0.014491236
10.62,0.014076637
10.63,0.013653805
10.64,0.013225308
10.65,0.012793747
10.66,0.012361747
10.67,0.01193193
10.68,0.011506908
10.69,0.011089263
10.7,0.010681526
10.71,0.010286162
10.72,0.009905567
10.73,0.009542029
10.74,0.009197736
10.75,0.008874747
10.76,0.008574986
10.77,0.008300226
10.78,0.00805208
10.79,0.007831989
10.8,0.007641211
10.81,0.007480817
10.82,0.007351683
10.83,0.007254474
10.84,0.007189656
10.85,0.007157481
10.86,0.007157986
10.87,0.007190996
10.88,0.007256124
10.89,0.007352769
10.9,0.007480122
10.91,0.007637176
10.92,0.007822721
10.93,0.008035361
10.94,0.008273521
10.95,0.008535449
10.96,0.008819244
10.97,0.009122852
10.98,0.00944409
10.99,0.009780654
11,0.010130144
11.01,0.010490068
11.02,0.010857873
11.03,0.01123095
11.04,0.011606663
11.05,0.011982364
11.06,0.012355407
11.07,0.012723175
11.08,0.013083095
11.09,0.013432657
11.1,0.013769431
11.11,0.014091086
11.12,0.014395406
11.13,0.014680307
11.14,0.014943849
11.15,0.015184253
11.16,0.015399908
11.17,0.015589389
11.18,0.015751457
11.19,0.015885073
11.2,0.015989408
11.21,0.01606383
11.22,0.016107925
11.23,0.016121487
11.24,0.016104527
11.25,0.016057256
11.26,0.015980094
11.27,0.01587366
11.28,0.015738762
11.29,0.0155764
11.3,0.015387743
11.31,0.01517413
11.32,0.014937058
11.33,0.014678163
11.34,0.014399221
11.35,0.014102122
11.36,0.013788872
11.37,0.013461566
11.38,0.013122389
11.39,0.012773587
11.4,0.012417473
11.41,0.012056396
11.42,0.011692743
11.43,0.011328918
11.44,0.010967331
11.45,0.010610387
11.46,0.010260477
11.47,0.009919961
11.48,0.009591158
11.49,0.009276338
11.5,0.008977709
11.51,0.008697405
11.52,0.008437478
11.53,0.008199886
11.54,0.007986483
11.55,0.00779901
11.56,0.007639083
11.57,0.007508188
11.58,0.007407664
11.59,0.007338701
11.6,0.007302327
11.61,0.007299397
11.62,0.007330593
11.63,0.00739641
11.64,0.007497145
11.65,0.007632901
